realdata_balanced_report_date=2026-03-03
git_commit_sha=f0e577e8d0fb20da3870b300e3adefbb3955eb4d
input_jsonl=data/realdata/halueval_spans_train.jsonl
n0_requested=100
n1_requested=100
n0_selected=100
n1_selected=100
label_count_0=100
label_count_1=100
label_count_null=0
unitization_id=sentence_split_v2_min4
unit_count_min=4
unit_count_max=10
unit_count_mean=4.28
vec8_postproc_id_E1=gaussian_proj_d8_seed7_v1
vec8_postproc_matrix_hash_sha256_E1=cad29157b616784f3d4a8439f443e04bd5a7773c17201e7e03862584e9e50dd7
gate3_n_samples_valid_E1=200
gate3_n_samples_missing_E1=0
gate2_h1b_mean_E1=9.46930692411912966e-1
gate2_h1b_p90_E1=1.33859152221636912e0
gate2_h3_total_mean_E1=7.72092164786107593e-2
artifact_path_e1_gate2=runs\realdata_E1_gate2
artifact_path_e1_gate3=runs\realdata_E1_gate3
label_count_report_path=attestations\realdata_ab\2026-03-03_halueval_label_counts.txt

===== Gate3 Missing Reasons (E1) =====
(none)

===== Label-wise Effect Stats (E1 Gate2 samples.csv) =====
{"metrics": {"h1b_closure_error": {"cliffs_delta_label1_vs_label0": -0.0098, "median_label0": 0.9289509723557718, "median_label1": 0.9851922211905242, "n0": 100, "n1": 100, "p_two_sided": 0.905668039847628, "u_stat_min": 4951.0, "z": -0.11850436102561607}, "h3_ratio_total_product": {"cliffs_delta_label1_vs_label0": -0.1352, "median_label0": 0.05903627783993837, "median_label1": 0.038499212287856535, "n0": 100, "n1": 100, "p_two_sided": 0.09883883458997665, "u_stat_min": 4324.0, "z": -1.6505091932536835}}, "source": "runs/realdata_E1_gate2/samples.csv"}

===== Gate2 E1 summary.csv =====
spec_version,method_id,composition_id,dataset_revision_id,code_git_commit,build_target_triple,rustc_version,n_samples_total,n_samples_h1b_present,n_samples_h2_present,n_samples_h3_total_present,h1b_mean,h1b_p90,h1b_max,h2_mean,h2_p90,h2_max,h3_total_mean,h3_total_p90,h3_total_max,h3_loop_mean,h3_loop_p90,h3_loop_max
v4.1.0-ssot.3,rotor_holonomy_telemetry_v1,strict_left_fold_time_reversed_normalize_once_v1,halueval-spans_train_main,unknown,unknown,unknown,200,200,200,200,9.46930692411912966e-1,1.33859152221636912e0,1.41349838653333260e0,8.98369326852277661e-1,1.23771273483094646e0,1.38038726832393910e0,7.72092164786107593e-2,1.91357813618015460e-1,5.35753275644787252e-1,6.19972453047960223e-33,1.21425317675844169e-32,2.30465789934700345e-32

===== Gate3 E1 summary.csv =====
run_id,n_samples_total,n_samples_valid,n_samples_missing,kappa_count_total,tau_count_total,kappa_global_mean,kappa_global_p90,kappa_global_max,tau_global_mean,tau_global_p90,tau_global_max
realdata_E1_proj,200,200,0,456,456,9.26350383766751939e-1,1.16507025660114794e0,1.36403205671495309e0,1.71860960612627529e-33,3.33564993312538842e-33,8.85096112164921724e-33

===== Gate2 E1 samples.csv =====
sample_id,n_ans_units,sample_label,answer_length,h1b_closure_error,h2_loop_max,h2_loop_mean,h2_loop_p90,h3_ratio_total_product,h3_ratio_triangle_loop_max,h3_ratio_triangle_loop_mean,h3_ratio_triangle_loop_p90,missing_even_rotor_steps,loops_considered,loops_used
14,5,1,5,8.85997927453927248e-1,1.02157003927722068e0,7.50773794733710198e-1,1.02157003927722068e0,9.60212999608389406e-2,5.99513025010007697e-33,3.51711450082485234e-33,5.99513025010007697e-33,0,3,3
15,4,1,4,1.07529492065457877e0,5.80184099904787032e-1,4.43311657222346667e-1,5.80184099904787032e-1,2.98077636540858421e-2,8.44722865887989244e-33,4.60117653917064771e-33,8.44722865887989244e-33,0,2,2
16,9,1,9,1.22366535238575969e0,1.40822777096455010e0,1.15249433251925359e0,1.40822777096455010e0,3.76052721141299895e-1,4.09982943724386843e-32,1.42928583307443805e-32,4.09982943724386843e-32,0,7,7
17,4,1,4,6.01554100317378770e-1,1.08214306817875561e0,8.81281998808804867e-1,1.08214306817875561e0,1.92856503442001594e-2,5.98105195285425086e-33,5.35468718712869042e-33,5.98105195285425086e-33,0,2,2
18,4,1,4,8.58063714487096507e-1,7.85402675046836252e-1,7.66091328659621151e-1,7.85402675046836252e-1,1.01126040211540397e-1,4.55767977712832248e-33,3.42263538424258430e-33,4.55767977712832248e-33,0,2,2
19,4,1,4,7.99021593580608536e-1,7.47418728861929837e-1,7.18892678318331146e-1,7.47418728861929837e-1,2.24052789398620812e-2,3.20737586996123697e-33,2.79973335060551805e-33,3.20737586996123697e-33,0,2,2
20,5,1,5,7.42867711523526264e-1,8.93586252226900912e-1,6.04423246165765815e-1,8.93586252226900912e-1,1.23798138020169684e-2,3.70229381650756657e-33,2.75645934217756340e-33,3.70229381650756657e-33,0,3,3
21,6,1,6,1.25533035657857339e0,1.15948567986529838e0,9.77443029248533657e-1,1.15948567986529838e0,2.38164081794087851e-1,8.50499545355681198e-33,5.06425150974804580e-33,8.50499545355681198e-33,0,4,4
22,4,1,4,9.01245072105941070e-1,1.15876026537108467e0,1.11454998502812064e0,1.15876026537108467e0,2.06411528525684909e-2,1.63323526072293225e-32,1.01542711176456630e-32,1.63323526072293225e-32,0,2,2
23,4,0,4,4.16197903163822325e-1,5.59534990079828765e-1,3.84981938924432832e-1,5.59534990079828765e-1,1.05561321435655598e-2,6.80235965050410227e-33,3.60147801107444289e-33,6.80235965050410227e-33,0,2,2
24,4,1,4,1.28603405876950760e0,1.25502140369087134e0,1.14055227380043167e0,1.25502140369087134e0,2.15930034159725281e-1,4.94115780250120340e-33,4.71331381425192869e-33,4.94115780250120340e-33,0,2,2
25,4,1,4,1.02611969601452868e0,1.34192594092829065e0,1.04088799685236966e0,1.34192594092829065e0,3.86074508780944875e-2,8.47554662407744870e-33,5.28585515380212955e-33,8.47554662407744870e-33,0,2,2
26,4,1,4,1.14378353917108733e0,1.38755755507266865e0,1.21746526557925039e0,1.38755755507266865e0,4.56360158416240502e-2,1.73386471998505049e-32,1.65030477547742995e-32,1.73386471998505049e-32,0,2,2
27,4,0,4,1.23241838766197276e0,4.54233280597364397e-1,3.81153426887604674e-1,4.54233280597364397e-1,4.25472028958734719e-3,5.39472014445791439e-33,5.12144265734560630e-33,5.39472014445791439e-33,0,2,2
28,4,1,4,7.97370469390840886e-1,1.24308459619754941e0,1.14170112157909376e0,1.24308459619754941e0,3.54217958185110149e-2,9.53843744521645802e-33,8.73555529738156377e-33,9.53843744521645802e-33,0,2,2
29,4,1,4,5.97789437954716063e-1,4.97337201946260521e-1,3.94956911889864593e-1,4.97337201946260521e-1,1.18533652876457504e-2,1.45005839587364311e-33,1.04428351638396183e-33,1.45005839587364311e-33,0,2,2
30,4,1,4,5.14351375752641671e-1,4.54030794263906634e-1,4.25648469948040509e-1,4.54030794263906634e-1,2.41776858430011524e-2,8.69641840535886432e-34,6.75584234559954657e-34,8.69641840535886432e-34,0,2,2
31,4,1,4,4.87242224692809034e-1,7.78139037478745799e-1,6.81622341022866340e-1,7.78139037478745799e-1,3.40965711757385687e-2,4.20450308130773832e-33,3.97435812274572587e-33,4.20450308130773832e-33,0,2,2
32,4,1,4,6.72703716059985357e-1,8.52421675686507840e-1,6.71957517363343082e-1,8.52421675686507840e-1,5.41694044722993567e-3,2.89745154545079913e-33,2.06078197570705474e-33,2.89745154545079913e-33,0,2,2
33,4,1,4,1.16939804180152085e0,1.07326375498245663e0,8.52430695970289976e-1,1.07326375498245663e0,1.75562504005229818e-2,5.00550090816770405e-33,4.62032738908863924e-33,5.00550090816770405e-33,0,2,2
34,4,0,4,1.15409185852845475e0,1.30842246416858288e0,1.11195386369856375e0,1.30842246416858288e0,2.59469587121818265e-2,9.36747346886956630e-33,8.07693538378199334e-33,9.36747346886956630e-33,0,2,2
35,4,1,4,1.01416647423013173e0,1.18691540409392116e0,8.37433680354497278e-1,1.18691540409392116e0,7.86700013602492088e-2,1.94519143410708508e-33,1.46680178086617772e-33,1.94519143410708508e-33,0,2,2
36,4,1,4,5.53986765156721628e-1,4.30122405353306925e-1,3.68622627555240612e-1,4.30122405353306925e-1,9.72038060197763336e-3,1.36114251701228455e-33,9.31117836044468208e-34,1.36114251701228455e-33,0,2,2
37,4,1,4,9.95801239866252685e-1,1.37195436120026160e0,9.85923757963601766e-1,1.37195436120026160e0,1.10143793932619694e-1,5.26201882840294664e-33,3.32627416169081251e-33,5.26201882840294664e-33,0,2,2
38,5,1,5,1.32632538023836744e0,1.37184776078637150e0,1.33126220972351272e0,1.37184776078637150e0,1.43477005022167120e-1,5.13375152619817397e-33,3.71343011973200146e-33,5.13375152619817397e-33,0,3,3
39,5,1,5,1.14255085367350806e0,1.39610587426182620e0,1.10096191877830374e0,1.39610587426182620e0,1.61079524243567057e-1,1.21966682413122490e-32,8.82903502198047592e-33,1.21966682413122490e-32,0,3,3
40,4,1,4,6.98010850417239759e-1,1.19648194099496563e0,9.95921561148861434e-1,1.19648194099496563e0,4.15536676774512417e-3,6.48182921070399992e-33,6.15406285829612289e-33,6.48182921070399992e-33,0,2,2
41,4,1,4,1.02997068469444986e0,1.07742556449906379e0,1.05582515741423077e0,1.07742556449906379e0,5.25283647070350149e-2,1.12652148460120647e-32,7.39815482423902272e-33,1.12652148460120647e-32,0,2,2
42,4,1,4,6.04109205100910929e-1,7.29940414371789914e-1,5.88886494649849213e-1,7.29940414371789914e-1,2.16303882927322416e-2,4.82971712521017143e-33,3.29256602158294147e-33,4.82971712521017143e-33,0,2,2
43,4,1,4,4.89477694600017110e-1,7.40774076320505070e-1,7.01887628465422297e-1,7.40774076320505070e-1,5.99116018292660188e-2,6.81450087996043878e-33,5.95370604102064670e-33,6.81450087996043878e-33,0,2,2
44,4,1,4,6.73432906837868717e-1,7.94697505600719500e-1,6.56526175624423725e-1,7.94697505600719500e-1,7.22072264661160479e-2,4.49013507460005069e-33,4.14101778471774174e-33,4.49013507460005069e-33,0,2,2
45,7,0,7,1.22904672934374881e0,1.29871791370003820e0,1.00928326671168445e0,1.29871791370003820e0,2.02106305225747573e-1,8.42745153036478993e-33,4.01323341846314152e-33,8.42745153036478993e-33,0,5,5
46,4,0,4,8.90643684005259950e-1,1.07154955714852385e0,8.65414483556820713e-1,1.07154955714852385e0,6.96109790873855327e-2,7.95307271385415426e-33,4.43618043802773855e-33,7.95307271385415426e-33,0,2,2
47,4,0,4,1.35213755722951268e0,1.40387849182372615e0,1.30976370905186390e0,1.40387849182372615e0,5.31168822045601126e-3,1.93288179354731149e-32,1.79497303771750684e-32,1.93288179354731149e-32,0,2,2
48,4,1,4,1.35419382816191924e0,1.35974116088074370e0,1.12983658972663159e0,1.35974116088074370e0,8.42876986245518194e-4,1.22946569918117280e-32,1.16967657508682928e-32,1.22946569918117280e-32,0,2,2
49,4,1,4,8.48064066658405169e-1,8.14473061296035694e-1,7.94397855486774884e-1,8.14473061296035694e-1,3.91865750080483063e-2,4.03085298279042707e-33,3.76117222543428402e-33,4.03085298279042707e-33,0,2,2
50,4,0,4,7.80846930619242041e-1,1.02571743177512653e0,9.05427838452395051e-1,1.02571743177512653e0,1.27853727986814741e-1,5.36761316202924728e-33,4.32294498822626696e-33,5.36761316202924728e-33,0,2,2
51,4,0,4,6.50079683822222254e-1,1.35494030568926171e0,1.30089710889242527e0,1.35494030568926171e0,1.05831502894888685e-1,1.57019105459855875e-32,1.24802215506134026e-32,1.57019105459855875e-32,0,2,2
52,4,1,4,1.04652463529288964e0,5.39135182166829208e-1,5.04713619157685311e-1,5.39135182166829208e-1,1.78543212831572158e-2,3.69591353822352128e-33,3.22404191884696953e-33,3.69591353822352128e-33,0,2,2
53,4,1,4,9.05305991874023719e-1,1.20185644740345454e0,1.03696016819486903e0,1.20185644740345454e0,2.27993222805757373e-1,1.10556356785975751e-32,7.31376613194038690e-33,1.10556356785975751e-32,0,2,2
54,6,1,6,8.95577816234709001e-1,1.26357816101517328e0,7.45105435993742904e-1,1.26357816101517328e0,5.06828954685762806e-2,1.33579035999536898e-32,6.11928778124642895e-33,1.33579035999536898e-32,0,4,4
55,4,1,4,5.58893378164363352e-1,1.25568561905692966e0,9.32914504349235174e-1,1.25568561905692966e0,1.10926883716233195e-4,1.93310283616978927e-32,1.61354416490637535e-32,1.93310283616978927e-32,0,2,2
56,4,0,4,5.12304874103262642e-1,1.27915353494582207e0,9.91863983155586437e-1,1.27915353494582207e0,2.61448065447360684e-2,1.00680456321970006e-32,8.80794266809049224e-33,1.00680456321970006e-32,0,2,2
57,4,1,4,8.08234846862195599e-1,9.47393840375439500e-1,7.66663206366397287e-1,9.47393840375439500e-1,1.04408885816850650e-1,5.66470723392177073e-33,3.44991152585370878e-33,5.66470723392177073e-33,0,2,2
58,4,1,4,1.24863735771627193e0,1.30237578253088104e0,9.75511441576946692e-1,1.30237578253088104e0,1.18098968067458926e-2,6.30072182152751620e-33,5.54924033579739068e-33,6.30072182152751620e-33,0,2,2
59,7,0,7,1.34859355692336780e0,1.33426675745311862e0,1.10810739776155098e0,1.33426675745311862e0,5.35753275644787252e-1,1.01367265800046966e-32,5.28460302492256629e-33,1.01367265800046966e-32,0,5,5
60,6,1,6,1.29403569403755947e0,9.98577553763383530e-1,8.33393217355108629e-1,9.98577553763383530e-1,1.89503034642124507e-1,9.93616983495322654e-33,4.69176688471190173e-33,9.93616983495322654e-33,0,4,4
61,4,1,4,9.00917559074298824e-1,1.05724522931697051e0,9.39839781681893527e-1,1.05724522931697051e0,5.20411439235357598e-3,1.31529461359228596e-32,8.86577388969293474e-33,1.31529461359228596e-32,0,2,2
62,6,1,6,1.15712690675694185e0,8.46295113362959373e-1,6.02799404546880968e-1,8.46295113362959373e-1,2.44482102587077366e-1,4.09718605798889925e-33,2.27267295543185586e-33,4.09718605798889925e-33,0,4,4
63,4,1,4,1.40847183063389703e0,1.06662282185071411e0,9.73791838007037391e-1,1.06662282185071411e0,4.41783724315248386e-5,8.30982994560839963e-33,7.99120846455669608e-33,8.30982994560839963e-33,0,2,2
64,4,1,4,1.33056181264942563e0,1.06339102861694235e0,1.00538142222334859e0,1.06339102861694235e0,3.88478321600444834e-2,8.84127126189733822e-33,7.47536762288803857e-33,8.84127126189733822e-33,0,2,2
65,4,1,4,1.18250789180446714e0,1.12733311665722891e0,9.65772120333976192e-1,1.12733311665722891e0,1.11267631232056532e-1,9.69916964823517229e-33,6.26148453996272362e-33,9.69916964823517229e-33,0,2,2
66,4,0,4,8.97654083326012819e-1,6.61966961809341226e-1,6.42075699540046729e-1,6.61966961809341226e-1,2.94987561601434099e-2,2.48912377201645357e-33,2.08472514424872886e-33,2.48912377201645357e-33,0,2,2
67,4,0,4,1.37729403393419481e0,1.12451870466231796e0,8.73406248749629910e-1,1.12451870466231796e0,6.46394842866659797e-2,5.94282812783424124e-33,3.78327129152464746e-33,5.94282812783424124e-33,0,2,2
68,6,1,6,8.62588054804538262e-1,1.32257274186913265e0,8.77453480431189758e-1,1.32257274186913265e0,4.33779404511336966e-2,8.86405421278157117e-33,6.90398759141940691e-33,8.86405421278157117e-33,0,4,4
69,4,1,4,1.06444466496816603e0,1.16162686106377899e0,1.11168833911707643e0,1.16162686106377899e0,4.86787890383436964e-2,7.44300367097514949e-33,5.89753058479253480e-33,7.44300367097514949e-33,0,2,2
70,4,0,4,5.03265470587876074e-1,7.81062357858856693e-1,7.77039235556815644e-1,7.81062357858856693e-1,2.48321894258184128e-2,4.23923351131009391e-33,3.72418985414746936e-33,4.23923351131009391e-33,0,2,2
71,4,1,4,6.17733643415779521e-1,6.29946296768377767e-1,6.14610237056617770e-1,6.29946296768377767e-1,1.45312801507234343e-2,2.13648495166923949e-33,1.72074867326526521e-33,2.13648495166923949e-33,0,2,2
72,5,1,5,8.09960819291270173e-1,6.54904638108073978e-1,5.60945992492207002e-1,6.54904638108073978e-1,1.91754050296999608e-2,1.43495878871571849e-33,1.32910352954274215e-33,1.43495878871571849e-33,0,3,3
73,4,0,4,1.08892456208451160e0,1.38499656804197957e0,1.22844791021967481e0,1.38499656804197957e0,1.05698752844169089e-1,1.73350431884256286e-32,1.22932435198661566e-32,1.73350431884256286e-32,0,2,2
74,4,1,4,2.29721761915388956e-1,5.95653401192935417e-1,4.50347644353747745e-1,5.95653401192935417e-1,6.00792668491656814e-3,3.06435487239636806e-33,2.56458030122341176e-33,3.06435487239636806e-33,0,2,2
75,4,1,4,8.04787957354766936e-1,1.20902156554505402e0,1.13351520290015984e0,1.20902156554505402e0,6.13560647568698256e-2,1.03761892820764775e-32,9.24344040344045581e-33,1.03761892820764775e-32,0,2,2
76,4,1,4,1.12253568513234825e0,1.18656263869663903e0,9.02822264223166138e-1,1.18656263869663903e0,7.23662529473172306e-2,1.28804165727610065e-32,7.09710347613482950e-33,1.28804165727610065e-32,0,2,2
77,4,1,4,1.29417891433911048e0,9.62755810602899276e-1,9.58228319066816159e-1,9.62755810602899276e-1,6.37233292922719029e-4,1.81989750264590789e-32,1.33931187705648844e-32,1.81989750264590789e-32,0,2,2
78,4,0,4,8.77866142590951859e-1,8.97079470762133790e-1,7.97770543853792535e-1,8.97079470762133790e-1,1.14979690767182868e-1,2.66610000771535039e-33,2.57867604090029498e-33,2.66610000771535039e-33,0,2,2
79,4,1,4,1.05333658156588195e0,1.26842173498696376e0,1.23579530788017733e0,1.26842173498696376e0,4.28228321583319464e-3,1.15226002364664323e-32,8.52680782778232660e-33,1.15226002364664323e-32,0,2,2
80,4,1,4,1.40097670227055215e0,1.27695693985024183e0,1.16683442443237317e0,1.27695693985024183e0,3.83909736976185759e-2,3.15872366654967429e-33,2.82547230879084022e-33,3.15872366654967429e-33,0,2,2
81,4,0,4,8.69792038442902649e-1,8.12330456933021972e-1,6.57680815350911274e-1,8.12330456933021972e-1,6.59755906744760728e-2,4.72463834907631265e-33,2.94952572814339847e-33,4.72463834907631265e-33,0,2,2
82,4,1,4,1.37097080673745486e0,1.35216329184228767e0,1.27080801451682368e0,1.35216329184228767e0,1.83548188219012816e-2,1.83328348292230530e-32,1.37337695787818016e-32,1.83328348292230530e-32,0,2,2
83,4,1,4,5.85428844193910392e-1,1.08712837692452147e0,1.03292417429756944e0,1.08712837692452147e0,3.88440786043939886e-3,7.79197959174133666e-33,6.24664783170441567e-33,7.79197959174133666e-33,0,2,2
84,4,0,4,8.03725523486444104e-1,9.59165397602222969e-1,7.35125390017254743e-1,9.59165397602222969e-1,1.70621291871249671e-2,9.69102170968527806e-33,5.96156212381663839e-33,9.69102170968527806e-33,0,2,2
85,4,1,4,6.62876967222873481e-1,6.27577457189734123e-1,6.20986983271876625e-1,6.27577457189734123e-1,2.22349046835634938e-2,5.29106694706843528e-33,3.77150067882908668e-33,5.29106694706843528e-33,0,2,2
86,4,1,4,8.27961828988755921e-1,5.85393230009070065e-1,5.44239467802746901e-1,5.85393230009070065e-1,1.98101227090560737e-2,2.17663888936228495e-33,1.94796495460350600e-33,2.17663888936228495e-33,0,2,2
87,6,1,6,1.07340402138484414e0,1.27622840262154824e0,1.12114310886252388e0,1.27622840262154824e0,1.48772963320079832e-1,1.27581405966807973e-32,9.51074828363663040e-33,1.27581405966807973e-32,0,4,4
88,4,1,4,1.17673433355674573e0,1.38959951290566708e0,1.24436631885778182e0,1.38959951290566708e0,1.71691742962108290e-2,6.02274888879440634e-33,5.05349702577524522e-33,6.02274888879440634e-33,0,2,2
89,4,0,4,1.05937675961965239e0,9.16968188383938676e-1,7.35677413167861616e-1,9.16968188383938676e-1,4.77280598730055114e-2,4.32195796411842986e-33,2.56384579847363417e-33,4.32195796411842986e-33,0,2,2
90,4,0,4,1.21167690560590602e0,1.22030314820521824e0,1.19698098569801825e0,1.22030314820521824e0,4.87395502338251463e-2,8.85218069613993157e-33,8.48798707765839082e-33,8.85218069613993157e-33,0,2,2
91,4,0,4,4.42635104608081587e-1,4.48167827910962935e-1,4.29668054257975163e-1,4.48167827910962935e-1,5.34699605084524437e-3,2.52627409510957738e-33,2.05395242508101012e-33,2.52627409510957738e-33,0,2,2
92,6,1,6,1.40616483053444652e0,1.07513228863520793e0,8.85559534413883909e-1,1.07513228863520793e0,8.18376960129754277e-2,9.75776344559878971e-33,6.30024752587163726e-33,9.75776344559878971e-33,0,4,4
93,4,1,4,1.21967462108181413e0,8.04391200582728172e-1,6.75796185835188190e-1,8.04391200582728172e-1,1.06563130033653738e-1,5.24463485340975162e-33,3.42352809211828790e-33,5.24463485340975162e-33,0,2,2
94,4,1,4,1.19633371159464796e0,1.33448160947153061e0,1.29969743412538596e0,1.33448160947153061e0,7.80778894254210709e-2,1.11240989365238290e-32,9.48013594746449357e-33,1.11240989365238290e-32,0,2,2
95,4,1,4,9.99938195798167340e-1,1.21134572306490851e0,8.20905142080702310e-1,1.21134572306490851e0,1.27543581002936540e-2,9.64830390580874873e-33,5.63878126056836762e-33,9.64830390580874873e-33,0,2,2
96,5,1,5,5.62435067146600964e-1,5.88329008840826173e-1,5.34760138818074160e-1,5.88329008840826173e-1,1.06832965355157638e-2,3.01198632903678296e-33,2.11105325196973339e-33,3.01198632903678296e-33,0,3,3
97,4,1,4,3.56114414101438959e-1,1.84071022925450412e-1,1.75002904201482679e-1,1.84071022925450412e-1,1.05303364531612984e-3,4.37344275689243807e-34,3.64920003812049763e-34,4.37344275689243807e-34,0,2,2
98,4,1,4,1.07295346265953495e0,1.24788958177159959e0,1.17448726538640025e0,1.24788958177159959e0,6.90125804300293147e-3,3.45601192014449969e-32,2.06550736049856151e-32,3.45601192014449969e-32,0,2,2
